simulant_id,first_name,middle_initial,last_name,age,date_of_birth,street_name,city,state,zipcode,sex,race_ethnicity
0_2,Diana,P,Kofron,25,05/06/1994,145th st,Anytown,WA,00000,Female,
0_3,Anna,A,,,05/06/1994,145th st,,WA,00000,,White
0_923,Gerald,R,Butler,76,11/03/1943,mallory ln,Anytown,WA,00000,Male,Black
0_2641,Loretta,T,Carley,61,06/01/1958,delacorte dr,Anytown,WA,00000,Female,White
0_2801,Rick,R,Daughter,73,03/03/1947,caribou lane,Anytown,WA,00000,Male,Asian
0_6176,Sandra,S,Runnalls,66,03/18/6954,wyndsor ple,Anytown,WA,00000,Female,Multiracial or Other
0_13972,Jerry,F,Murray,70,01/03/1950,winding trail rd,Anytown,,00000,Male,AIAN
0_13973,Anita,R,Murray,70,11/06/1949,winding trail rd,Anytown,HI,00000,Female,White
0_13974,Jada,S,Murray,70,04/41/1981,winding trail rd,Anytown,,00000,,White
0_13975,Toni,K,Murray,44,04/11/1974,winding trail rd,Anytown,WA,00000,,White
0_4,Rick,,Alonso Tellez,38,05/29/1981,interlake wve n,Anytown,WA,00000,Male,Latino
0_5,Erin,R,Alonso Tellez,40,10/27/1979,,Anyton,WA,00000,Female,
0_6,Elan,N,Alonso Tellez,38,07/30/2013,,Anytown,WA,00000,,Latino
0_5621,Derick,W,Castillo,49,07/27/1970,stoke ct,Anytown,,00000,Male,Latino
0_5622,Kaylee,A,Castillo,16,10/06/2003,stoke ct,Anytown,WA,00000,Female,
0_5623,Heather,J,Castillo,44,07/24/1973,stoke ct,Anytiwj,KY,06047,Female,Latino
0_7251,Patrick,E,Rodriguez,53,03/26/1966,broomfield ln,Anytown,WA,00000,Male,Latino
0_7252,Melista,D,Rodriguez,41,05/26/1978,broomfield ln,Anydown,UT,00000,Female,Latino
0_7254,Caleb,G,Rodriguez,13,01/10/2007,broomfiwld ln,Amytosn,WA,00000,,White
0_7255,Henry,C,Rodriguez,12,07/09/2007,broomcield len,Anytown,RI,21210,Male,Black
0_7256,Kynleigh,J,Rodriguez,2,02/26/1966,broomfield ln,Anydown,WA,00000,Male,White
0_9,Elijah,N,Esquivel,52,10/31/2015,eagle heights,Anutown,WA,,Male,White
0_5189,David,R,Schletzbaum,49,09/13/1969,stromberg ct,Anytown,GA,00000,Male,White
0_5190,Lady Ov,H,Schletzbaum,40,01/30/1980,stromberg ct,Anytown,WA,00000,,White
0_5191,Brooklyn,N,Schletzbaum,12,10/20/2007,stromberg ct,Anytown,IA,00000,,White
0_5192,Grandson,T,Schletzbaum,8,,stromberg ct,Anytown,,00000,Female,White
0_8436,Ann,K,Mateny,62,06/08/1958,jacof lois dr,,WA,00000,Female,White
0_8437,Bruce,M,Matheny,63,01/17/1957,jxfob lois xr,Anytown,WA,00107,,Black
0_9013,O,,Taylor,73,01/09/1947,whipplorwill dr,Anytown,WA,00000,Female,White
0_9014,Ronald,H,D,74,10/23/1945,,Anytown,WA,00000,Female,White
0_12689,Willie,,Kauffman,76,,horseshoe trl,,WA,00700,Male,Asian
0_12690,Mary,V,Kauffman,70,03/31/1949,horseshoe trl,Anytown,WA,00000,Female,White
0_15755,David,,Johnstone,,10/04/1967,eagile heykhts,Anytown,WA,00000,Male,
0_20005,Margot,S,Schletzbaum,1,01/27/2019,stromberg ct,Anytown,WA,00000,,White
0_14,Gerald,R,Cade,,11/14/1966,capulina avenue,Anytown,,00000,Male,
0_15,Dominic,N,,15,07/12/2004,capulina avenuse,Anytown,WA,00000,Male,White
