simulant_id,first_name,middle_initial,last_name,age,date_of_birth,street_name,city,state,zipcode,sex,race_ethnicity
0_2,Diana,P,Kofron,27,05/06/1994,145th sd,,WA,00000,Female,White
0_3,Anna,A,Kofron,25,09/29/1994,145th st,Anytown,WA,00000,Female,White
0_923,Gerale,R,Butler,76,11/03/1943,mallory ln,Anytown,WA,00000,,Black
0_2641,Loretta,T,Carley,61,06/01/1958,delacorte dr,Anytown,WA,,Female,AIAN
0_2801,Richard,R,Jones,73,03/03/1947,caribou lane,Anytown,WA,00000,Male,
0_6176,Santra,S,Runnalls,66,03/18/1954,windsor pl,Anytown,WA,,Female,
0_13972,Jerry,E,Murray,70,01/03/1950,winding trail rd,Anytown,WA,00000,Female,White
0_13973,Anita,R,Murray,70,11/06/1949,,Anytown,WA,00620,Female,White
0_13974,B,S,Murray,45,04/11/1974,winding trail rd,Anytown,,,Female,NHOPI
0_13975,Toni,K,Murray,70,02/12/1976,,Anytown,NY,,Male,
0_5,,R,Alonso Tellez,40,10/27/1979,interlake ave n,Anytown,WA,00001,Female,AIAN
0_6,M,N,Alonso Tellez,6,07/30/2013,interlake ave n,Anytown,TX,00000,Male,Latino
0_5621,Derick,W,Castillo,49,07/27/0970,stoke ct,,AK,00000,Male,Latino
0_5622,Jaylee,A,Castillo,16,02/10/2103,stoke ct,Anytown,NV,00000,,Latino
0_5623,Hsathr,J,Castillo,46,07/24/1973,stoke ct,Anytown,,00000,Male,Latino
0_7251,Patrick,E,Rodriguez,53,83/26/1986,broomfield ln,Anytown,WA,00000,Male,Latino
0_7252,Melisa,D,Rodriguez,41,05/26/1978,broomfield ln,Anytown,WA,00000,,NHOPI
0_7254,Caleb,G,Rodriguez,,01/10/2007,broomfield ln,Anytown,WA,00000,Male,NHOPI
0_7255,Henry,C,Rodriguez,12,07/09/2007,broomfield ln,Anytown,WA,00000,,White
0_7256,Kynleigh,J,Rodrigufz,2,05/06/2017,broomfild ln,Anytown,WA,00000,Female,White
0_9,Lige,N,Esquivel,4,10/31/2015,eagle heights,Anytown,WA,00000,Male,White
0_5189,David,R,Schletzbaum,,09/13/1969,stromberg ct,Anytown,WA,00000,Male,White
0_5190,Sara,H,Schletzbaum,40,01/30/1980,stromberg ct,Anytown,,00070,Female,White
0_5191,Brooklyn,,Schletzbaum,12,10/20/2007,stromberg ct,Anytown,WA,00000,Female,
