simulant_id,first_name,middle_initial,last_name,age,date_of_birth,street_name,city,state,zipcode,sex,race_ethnicity
0_2,Diana,P,Kofron,25,05/06/1994,145th st,Anytown,WA,00000,Female,White
0_3,Anna,A,Kofron,25,09/29/1994,145th st,Anytown,,200000,Female,White
0_923,Gerald,R,Butler,76,11/03/1943,mallory ln,,WA,00000,Female,White
0_2641,Loretta,T,Carley,61,06/01/1958,delacorte dr,Anytown,WA,00000,Male,White
0_2801,,R,Jones,73,03/03/1947,caribou lane,Anytown,WA,,Female,White
0_6176,Sandra,S,,65,03/18/0954,w'lndsor pl,Anttown,,00000,Female,Multiracial or Other
0_13972,,E,Murray,71,01/03/1950,winding trail rd,Anytown,WA,00000,Male,NHOPI
0_13973,Anita,R,Murray,70,11/06/1949,winding trail rd,,WA,00000,Female,White
0_13974,,S,Murray,45,04/11/1974,winding trail rd,Anytown,,00000,Female,White
0_13975,Toni,K,Murray,44,02/12/1976,winding trail rd,Anytown,OR,00000,Female,White
0_4,Rick,R,Alonso Tellez,38,05/29/1981,interlake ave n,Anytown,WA,00000,,AIAN
0_5,Erin,R,Alonso Tellez,40,10/27/1979,interlake ave n,Anytown,WA,00000,,Latino
0_6,Elan,N,Alonso Teplez,38,07/30/2013,intahlacke ave n,Anytown,,00000,Male,Asian
0_5623,Hetty,J,Castillo,426,07/24/1973,stoke ct,Anytown,WA,,,Latino
0_7251,Patahick,E,Rodriguez,53,03/26/1966,broomfield ln,Anytown,WA,00000,Male,Latino
0_7252,Melisa,D,Rodriguez,,05/26/1978,broomfield ln,Anytown,WA,00000,Female,
0_7254,Caleb,G,Rodriguez,12,01/10/2007,proomfild ln,Anytown,WA,00000,Male,White
0_7255,Henry,C,Rodriguez,12,07/09/2007,broomfield ln,Anytown,WA,00050,Male,White
0_7256,Female,J,Rodriguez,2,05/06/2017,broomfield ln,Anytown,WA,00000,,White
0_9,Elijah,N,Esquivel,4,10/31/2045,eagle heights,Anytown,WA,00000,Male,White
0_5189,David,R,Schletzbaum,50,09/13/1969,stromberg ct,Anytown,OR,,,White
0_5190,Sara,H,Schletzbaum,40,01/30/1980,srromberg xt,Anytown,WA,00000,Female,Multiracial or Other
